CREATE TABLE
 setseed 
---------
 
(1 row)

INSERT 0 200
 id  |        value        
-----+---------------------
   1 |                    
   2 |   -95.3091452171904
   3 |  12.056912275934906
   4 |  -76.61960380988972
   5 |   61.12054683373458
   6 |  -83.16887681302063
   7 |                    
   8 |  3.5140326743139383
   9 |  -6.231424794162166
  10 |                    
  11 |                    
  12 | -41.856157883264444
  13 |   67.16202378722684
  14 |                    
  15 |   54.53082099377866
  16 |                    
  17 |   98.60245427180772
  18 |   -82.5788289057023
  19 |  -35.42585161561007
  20 | -14.891504387791343
  21 |   85.29509464086473
  22 |    81.8778225137855
  23 |                    
  24 |   84.49202604201105
  25 |                    
  26 |                    
  27 | -13.185715998727687
  28 |                    
  29 |   26.83714196785516
  30 |  -78.48861151013935
  31 |  -26.88919382776689
  32 |  -46.24769722108866
  33 |  -95.06997138158724
  34 | -14.778612140126057
  35 |                    
  36 |  14.242595917821177
  37 |  -44.17442919722845
  38 |                    
  39 |                    
  40 |  3.9891437310487277
  41 |  -5.256172533231052
  42 |                    
  43 |   8.166133559985411
  44 |   92.72255033793257
  45 |   6.293039124640387
  46 |                    
  47 | -31.946844999136204
  48 |   85.36518614894248
  49 |                    
  50 | -31.964507956242727
  51 |   75.90730546587494
  52 |  -86.01953555340671
  53 |  10.085932018468924
  54 |                    
  55 |                    
  56 |                    
  57 |  12.117826458147363
  58 |  -45.17631513450624
  59 |                    
  60 |  26.545482220658556
  61 |  -4.362779685528295
  62 |                    
  63 |                    
  64 |   78.06198377523046
  65 |                    
  66 |  -8.118076996382229
  67 |                    
  68 |  -22.18280322978714
  69 |                    
  70 |  15.346043451059188
  71 |   57.68584250222659
  72 |                    
  73 |   42.12931951975705
  74 | -15.717558208243787
  75 |  -17.88865110058495
  76 |    -92.392016556159
  77 |  1.1374129598557658
  78 |   33.96944776443078
  79 |   82.42057813082297
  80 |                    
  81 |   -96.6582421392232
  82 |                    
  83 |  -51.08808399868181
  84 |                    
  85 |  -80.75837218100617
  86 |    64.7424889400483
  87 | -20.272897693143932
  88 |                    
  89 |  34.542196822642524
  90 |  28.593103298339173
  91 |                    
  92 |                    
  93 |   95.61441993311277
  94 |  -88.40544694212085
  95 |                    
  96 | -17.259794522620098
  97 |  13.044440523287903
  98 |  24.669209979431628
  99 |   70.19148727157756
 100 |                    
 101 |                    
 102 |   42.18269795714491
 103 |                    
 104 |                    
 105 | -47.162910777345246
 106 |   32.99180094578986
 107 |  -77.30752276847852
 108 | -38.920763061791774
 109 |  -41.87495665891845
 110 |   39.06534738068643
 111 |   79.75623147609099
 112 |   42.56077719724232
 113 |                    
 114 |                    
 115 |   6.095164219168225
 116 |                    
 117 |     73.599220436855
 118 |  -43.81816993308334
 119 |  -29.94008054964823
 120 |                    
 121 |                    
 122 |  -62.96821456225885
 123 |  -92.50271511255832
 124 |  57.470694261558464
 125 |    90.1635089539532
 126 |  -98.27626715811348
 127 |   98.13836233813404
 128 |  33.261100124013154
 129 |                    
 130 |                    
 131 |  -41.75512116438327
 132 |   73.02017944553327
 133 |  -17.75903801571488
 134 |  -74.11237097956516
 135 |   46.60664485281458
 136 |   35.42021297601892
 137 |  -44.23181353737462
 138 | -27.146954825365555
 139 |   -94.5959334052283
 140 | -2.0676626594500647
 141 |  -48.24022201658593
 142 |   60.57096966386055
 143 | -14.147139271737075
 144 |   78.74957496278299
 145 |  -4.278430189607008
 146 |   96.44984332877655
 147 |                    
 148 |                    
 149 |                    
 150 |   98.81086354463093
 151 | -26.477863752889164
 152 |                    
 153 |                    
 154 |                    
 155 |                    
 156 |   16.08204693135633
 157 |   70.69925960207541
 158 |                    
 159 | -36.103680409767236
 160 |                    
 161 |  60.876844537071406
 162 |   4.607028395587065
 163 |   80.66685184255675
 164 |  -94.27872218391684
 165 |   47.48106242184633
 166 |   87.87318255840404
 167 | -27.098155938591617
 168 | -18.519208490373273
 169 |  3.0775154894712387
 170 |  -70.17409446502398
 171 |                    
 172 |   45.43619537029926
 173 |                    
 174 |  16.921820419966593
 175 |  27.481989423596076
 176 |  -49.63076414010743
 177 |                    
 178 |  14.933776083004346
 179 |  -87.64444154574633
 180 |  -7.191749041037809
 181 |   43.60765484380735
 182 | -13.343892420154901
 183 |                    
 184 |   58.58043432260587
 185 |                    
 186 |  -51.41286816056905
 187 | -20.390997747355044
 188 |    92.8265094316707
 189 |                    
 190 |  24.723485765855457
 191 |                    
 192 |                    
 193 |  14.430704706970232
 194 |  -4.743723739660766
 195 |   -48.3871887172711
 196 |  -31.73114554223133
 197 |   34.27958598556131
 198 |                    
 199 |  -59.02172978998621
 200 |  24.800265582720016
(200 rows)

 id  |        value        |   Cummulative Sum   
-----+---------------------+---------------------
   1 |                     |                    
   2 |   -95.3091452171904 |   -95.3091452171904
   3 |  12.056912275934906 |   -83.2522329412555
   4 |  -76.61960380988972 | -159.87183675114522
   5 |   61.12054683373458 |  -98.75128991741065
   6 |  -83.16887681302063 | -181.92016673043128
   7 |                     | -181.92016673043128
   8 |  3.5140326743139383 | -178.40613405611734
   9 |  -6.231424794162166 |  -184.6375588502795
  10 |                     |  -184.6375588502795
  11 |                     |  -184.6375588502795
  12 | -41.856157883264444 | -226.49371673354395
  13 |   67.16202378722684 |  -159.3316929463171
  14 |                     |  -159.3316929463171
  15 |   54.53082099377866 | -104.80087195253844
  16 |                     | -104.80087195253844
  17 |   98.60245427180772 |  -6.198417680730728
  18 |   -82.5788289057023 |  -88.77724658643302
  19 |  -35.42585161561007 |  -124.2030982020431
  20 | -14.891504387791343 | -139.09460258983444
  21 |   85.29509464086473 | -53.799507948969705
  22 |    81.8778225137855 |    28.0783145648158
  23 |                     |    28.0783145648158
  24 |   84.49202604201105 |  112.57034060682685
  25 |                     |  112.57034060682685
  26 |                     |  112.57034060682685
  27 | -13.185715998727687 |   99.38462460809916
  28 |                     |   99.38462460809916
  29 |   26.83714196785516 |  126.22176657595432
  30 |  -78.48861151013935 |   47.73315506581497
  31 |  -26.88919382776689 |   20.84396123804808
  32 |  -46.24769722108866 | -25.403735983040576
  33 |  -95.06997138158724 | -120.47370736462781
  34 | -14.778612140126057 | -135.25231950475387
  35 |                     | -135.25231950475387
  36 |  14.242595917821177 |  -121.0097235869327
  37 |  -44.17442919722845 | -165.18415278416114
  38 |                     | -165.18415278416114
  39 |                     | -165.18415278416114
  40 |  3.9891437310487277 | -161.19500905311241
  41 |  -5.256172533231052 | -166.45118158634347
  42 |                     | -166.45118158634347
  43 |   8.166133559985411 | -158.28504802635806
  44 |   92.72255033793257 |  -65.56249768842548
  45 |   6.293039124640387 |  -59.26945856378509
  46 |                     |  -59.26945856378509
  47 | -31.946844999136204 |   -91.2163035629213
  48 |   85.36518614894248 | -5.8511174139788125
  49 |                     | -5.8511174139788125
  50 | -31.964507956242727 |  -37.81562537022154
  51 |   75.90730546587494 |    38.0916800956534
  52 |  -86.01953555340671 |  -47.92785545775331
  53 |  10.085932018468924 | -37.841923439284386
  54 |                     | -37.841923439284386
  55 |                     | -37.841923439284386
  56 |                     | -37.841923439284386
  57 |  12.117826458147363 | -25.724096981137023
  58 |  -45.17631513450624 |  -70.90041211564326
  59 |                     |  -70.90041211564326
  60 |  26.545482220658556 |  -44.35492989498471
  61 |  -4.362779685528295 |    -48.717709580513
  62 |                     |    -48.717709580513
  63 |                     |    -48.717709580513
  64 |   78.06198377523046 |  29.344274194717457
  65 |                     |  29.344274194717457
  66 |  -8.118076996382229 |  21.226197198335228
  67 |                     |  21.226197198335228
  68 |  -22.18280322978714 |  -0.956606031451912
  69 |                     |  -0.956606031451912
  70 |  15.346043451059188 |  14.389437419607276
  71 |   57.68584250222659 |   72.07527992183387
  72 |                     |   72.07527992183387
  73 |   42.12931951975705 |  114.20459944159091
  74 | -15.717558208243787 |   98.48704123334713
  75 |  -17.88865110058495 |   80.59839013276218
  76 |    -92.392016556159 |  -11.79362642339683
  77 |  1.1374129598557658 | -10.656213463541064
  78 |   33.96944776443078 |  23.313234300889718
  79 |   82.42057813082297 |  105.73381243171269
  80 |                     |  105.73381243171269
  81 |   -96.6582421392232 |   9.075570292489488
  82 |                     |   9.075570292489488
